ABL1, Branchiomotor Neuron Axon Guidance.   
ADARB1, Hypoglossal Nerve Morphogenesis.   
ASCL1, Tongue Morphogenesis. Tongue Development.
AUTS2, Vocalization Behavior. Inate Vocalisation Behaviour.
BDNF, Tongue Development. 
BMP4, Tongue Morphogenesis. Tongue Development.
BNC2, Tongue Development. 
BRINP1, Vocalization Behavior.   
CAD, Vegas Nerve Development. Vagus Nerve Morphogenesis. Glossopharyngeal Nerve Morphogenesis. Glossopharyngeal Nerve Development.  
CAPN1, Branchiomotor Neuron Axon Guidance.   
CELF6, Vocalization Behavior.   
CNTNAP2, Vocalization Behavior. Vocal Learning. Learned Vocalization Behavior or Vocal Learning.  
CREB1, Learned Vocalisation Behaviour. Learned Vocalization Behavior or Vocal Learning.
CTNNB1, Tongue Morphogenesis. Tongue Development.
CYP26B1, Tongue Morphogenesis. Tongue Development.
DCANP1, Vocalization Behavior. Learned Vocalisation Behaviour. Learned Vocalization Behavior or Vocal Learning.  
DLG4, Vocalization Behavior.   
EGFR, Tongue Development. 
ERBB2, Tongue Development. 
ERBB3, Tongue Development. 
EXT1, Vocalization Behavior.   
FGF8, Larynx Morphogenesis. Larynx Morphogenesis. Tongue Morphogenesis. Tongue Development.  
FOXP1, Vocalization Behavior. Inate Vocalisation Behaviour.
FOXP2, Vocalization Behavior. Inate Vocalisation Behaviour. Learned Vocalization Behavior. Learned Vocalization Behavior or Vocal Learning. Vocal Learning. 
FUZ, Larynx Morphogenesis. Tongue Morphogenesis. Tongue Development.  
GLI1, Vegas Nerve Development.   
GLI3, Vocalization Behavior. Larynx Morphogenesis. Larynx Development. Tongue Development.  
GMDS, Glossopharyngeal Nerve Development.   
HAND2, Tongue Development. 
HDAC1, Tongue Morphogenesis. Tongue Development.
HDAC2, Tongue Morphogenesis. Tongue Development.
HOXA3, Glossopharyngeal Nerve Morphogenesis. Glossopharyngeal Nerve Development.
HOXB3, Glossopharyngeal Nerve Morphogenesis. Glossopharyngeal Nerve Development.
HOXC13, Tongue Morphogenesis. Tongue Development.
HOXD3, Glossopharyngeal Nerve Morphogenesis. Glossopharyngeal Nerve Development.
HTT, Learned Vocalisation Behaviour. Learned Vocalization Behavior or Vocal Learning.
INTU, Tongue Development. 
KCNE2, Tongue Development. 
KIT, Tongue Development. 
KRT13, Tongue Morphogenesis. Tongue Development.
LEF1, Tongue Development. 
MIB1, Tongue Morphogenesis. Tongue Development.
MYCBP2, Branchiomotor Neuron Axon Guidance.   
MYH14, Vocalization Behavior.   
NAV2, Vegas Nerve Development. Glossopharyngeal Nerve Development.
